func;24;11;81;31070665;31070665
func;24;12;81;15927792;15927792
func;24;13;81;30905413;30905413
func;24;14;81;23239816;23239816
func;24;15;81;18961288;18961288
func;24;16;81;31727953;31727953
func;24;17;81;18383903;18383903
func;24;18;81;22737897;22737897
func;24;19;81;35843977;35843977
func;24;20;81;24412433;24412433
func;24;21;81;25869717;25869717
func;24;22;81;36227687;36227687
func;24;23;81;29269197;29269197
func;24;24;81;27974778;27974778
func;24;25;81;25831760;25831760
func;24;26;81;40245075;40245075
func;24;27;81;27777116;27777116
func;24;28;81;24078833;24078833
func;24;29;81;17241456;17241456
func;24;30;81;27758451;27758451
func;24;31;81;30160167;30160167
func;24;32;81;17927552;17927552
func;25;1;41;1261603;1261603
func;25;2;41;1511950;1511950
func;25;3;41;1580473;1580473
func;25;4;41;1244054;1244054
func;25;5;41;1627959;1627959
func;25;6;41;1556523;1556523
func;25;7;41;1329782;1329782
func;25;8;41;1566635;1566635
func;25;9;41;1228764;1228764
func;25;10;41;1249954;1249954
func;25;11;41;10984525;10984525
func;25;12;41;1514092;1514092
func;25;13;41;1268103;1268103
func;25;14;41;1288377;1288377
func;25;15;41;1251754;1251754
func;25;16;41;1224485;1224485
func;25;17;41;1349150;1349150
func;25;18;41;1445300;1445300
func;25;19;41;1402951;1402951
func;25;20;41;1290029;1290029
func;25;21;41;1552817;1552817
func;25;22;41;1306001;1306001
func;25;23;41;1323174;1323174
func;25;24;41;10970309;10970309
func;25;25;41;1295827;1295827
func;25;26;41;1310803;1310803
func;25;27;41;2176638;2176638
func;25;28;41;1155509;1155509
func;25;29;41;1354687;1354687
func;25;30;41;1203694;1203694
func;25;31;41;1238757;1238757
func;25;32;41;1199551;1199551
func;28;1;2;13733;13733
func;28;2;2;14322;14322
func;28;3;2;16158;16158
func;28;4;2;15294;15294
func;28;5;2;15478;15478
func;28;6;2;16281;16281
func;28;7;2;16409;16409
func;28;8;2;14659;14659
func;28;9;2;15796;15796
func;28;10;2;16763;16763
